Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000001127	27.327112	31.475185	33.161697	29.810520	31.312246	33.413734	28.469437	36.207897
ENSMUSG00000001128	2.043242	1.207170	2.257364	2.361153	3.209413	2.336892	2.833890	1.765952
ENSMUSG00000001131	0.716516	0.631459	0.897561	1.368418	0.000000	0.000000	0.736692	0.372098
ENSMUSG00000001134	8.548295	8.309175	9.392385	7.600304	8.193242	7.714624	9.801696	8.037126
ENSMUSG00000001138	3.093500	3.164782	3.028816	2.841745	3.288058	3.719868	4.210628	3.277935
ENSMUSG00000001143	6.143510	7.407434	6.698160	7.376360	4.314432	6.803836	7.241959	5.630986
ENSMUSG00000001150	4.613037	4.326704	4.010038	4.474967	3.919285	4.615355	4.893505	3.947300
ENSMUSG00000001151	18.711586	13.731698	14.506557	13.544374	15.890553	14.845413	16.034573	14.587793
ENSMUSG00000001155	0.0	0.0	0.000000	0.063638	0.000000	0.0	0.0	0.057950
ENSMUSG00000001156	1.673486	0.884938	1.057699	0.892076	0.985531	1.394802	1.379625	1.215267
ENSMUSG00000001157	1.606260	2.002655	1.880685	1.453372	1.447226	1.779301	1.236158	1.552120
ENSMUSG00000001158	29.146725	34.390465	36.424217	36.142208	34.278801	34.668274	34.912998	34.691963
ENSMUSG00000001166	0.107646	0.110258	0.121390	0.147147	0.178352	0.166321	0.177590	0.000000
ENSMUSG00000001168	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000
ENSMUSG00000001173	5.502510	5.075806	6.198258	6.531361	7.082034	5.777788	6.141992	5.787789
ENSMUSG00000001175	112.995438	140.020264	150.914215	130.524689	122.719437	153.268143	165.121933	156.741013
ENSMUSG00000001211	15.687510	17.642778	18.508009	16.226772	16.333738	17.680162	15.362049	16.596066
ENSMUSG00000001225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028869
ENSMUSG00000001227	1.001013	0.919594	0.796863	0.885453	1.293668	0.735477	1.301471	1.019251
ENSMUSG00000001228	0.207229	0.308027	0.098022	0.328335	0.0	0.151286	0.080475	0.023545
ENSMUSG00000001229	11.281354	11.746786	10.203382	11.083529	8.945243	10.616080	9.988880	9.811355
ENSMUSG00000001240	13.557572	9.250638	6.972193	9.351990	6.326713	7.283695	7.843062	6.669308
ENSMUSG00000001247	0.340891	0.292802	0.463010	0.318175	0.622905	0.232239	0.232810	0.313637
ENSMUSG00000001248	11.866800	12.814763	10.649241	11.509064	11.084970	10.187101	13.395423	10.466203
ENSMUSG00000001249	3.955784	3.834479	3.441549	4.891467	5.131121	4.605131	5.207922	3.189378
ENSMUSG00000001260	0.0	0.000000	0.000000	0.015275	0.0	0.0	0.0	0.000000
ENSMUSG00000001270	3.089795	3.533716	4.649059	3.025984	1.938720	1.558800	2.332726	1.873170
ENSMUSG00000001280	4.310656	4.344495	5.234004	4.890757	4.509587	3.346863	4.756221	3.842487
ENSMUSG00000001281	0.371683	0.243060	0.586618	0.358997	0.647074	1.006137	0.646075	0.580764
ENSMUSG00000001285	3.368471	3.749127	3.595665	4.072778	3.820468	4.575965	5.215358	4.877123
ENSMUSG00000001288	4.434119	4.539518	3.959302	4.841562	3.107726	2.802138	4.101714	2.750294
ENSMUSG00000001289	31.247890	33.094765	34.246433	35.193367	41.860542	39.849621	48.919182	43.314766
ENSMUSG00000001300	1.776841	2.678265	2.300001	2.617359	1.678027	2.192525	2.227054	2.244459
ENSMUSG00000001305	3.308717	3.600349	4.574194	3.865761	3.508533	4.232924	3.641959	2.518059
ENSMUSG00000001313	0.843370	0.870504	0.704453	0.930708	0.363136	0.363094	0.469696	0.468200
ENSMUSG00000001323	4.755155	6.423568	5.042279	5.424713	4.229635	4.622222	3.982496	4.897459
ENSMUSG00000001333	9.628156	9.605655	12.051111	10.670778	10.860776	8.634633	9.655475	9.614428
ENSMUSG00000001334	23.217842	34.256138	25.652304	23.125633	18.905046	24.144566	20.246304	17.588802
ENSMUSG00000001348	1.676464	4.201632	2.133663	4.137945	1.549690	0.688278	1.165632	0.347099
ENSMUSG00000001349	0.412524	0.337349	0.511649	0.417878	0.085414	0.000000	0.141271	0.220668
ENSMUSG00000001366	14.001569	14.680960	18.702217	16.551302	17.729498	16.127443	14.951279	17.399580
ENSMUSG00000001376	5.647399	7.837080	5.855345	5.999918	5.615627	6.002388	8.087895	6.426232
ENSMUSG00000001380	8.943955	11.438299	10.993080	10.593596	8.666059	9.760089	10.302763	10.442134
ENSMUSG00000001383	11.990650	11.548485	13.873731	12.699426	12.291680	13.021269	15.654578	12.709302
ENSMUSG00000001403	4.104142	2.262165	4.271871	5.209398	3.134300	3.006244	1.617413	2.261565
ENSMUSG00000001415	11.781014	13.866298	12.133137	14.426439	13.225474	12.194059	11.727336	12.511245
ENSMUSG00000001416	19.774084	24.540482	20.885735	23.241926	19.055731	18.480412	20.885582	20.001226
ENSMUSG00000001418	3.759052	3.647205	2.681467	3.414918	3.443388	3.283597	3.027912	3.072664
ENSMUSG00000001419	39.877331	45.175694	44.539623	46.005985	43.986748	38.813442	44.942032	41.205688
ENSMUSG00000001420	1.635949	1.853370	1.330733	1.712190	2.651629	1.994428	2.222905	2.153379
ENSMUSG00000001424	8.828869	9.465817	9.822810	10.419381	9.743205	9.669415	9.803769	10.805611
ENSMUSG00000001435	2.955556	2.045579	2.345258	2.932654	1.353213	1.284296	2.191943	0.947102
ENSMUSG00000001436	1.116844	1.106585	1.542516	1.303221	1.245082	1.300798	1.326033	1.048926
